t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
0.000000,-1.799310,-1.506530,1.902850,-1.885110,-1.577040,-0.190939,0.001997,0.487497,0.272493,-0.037704,0.009436,3.059891
0.050000,-1.680472,-1.487432,1.790401,-1.891432,-1.479966,-0.167437,-0.060532,0.514088,0.315634,0.059979,0.086587,-3.108932
0.100000,-1.561633,-1.468334,1.677953,-1.897754,-1.382892,-0.143934,-0.129161,0.527940,0.361196,0.176367,0.167589,-2.996591
0.150000,-1.442795,-1.449236,1.565504,-1.904076,-1.285818,-0.120432,-0.201064,0.527730,0.408717,0.312115,0.249259,-2.884153
0.200000,-1.323956,-1.430139,1.453055,-1.910397,-1.188744,-0.096929,-0.273145,0.512782,0.457668,0.467873,0.328353,-2.769386
0.250000,-1.205118,-1.411041,1.340606,-1.916719,-1.091670,-0.073427,-0.342187,0.483132,0.507468,0.644163,0.401516,-2.650268
0.300000,-1.086279,-1.391943,1.228158,-1.923041,-0.994596,-0.049924,-0.405026,0.439542,0.557490,0.841037,0.465288,-2.525439
0.350000,-0.967441,-1.372845,1.115709,-1.929363,-0.897522,-0.026422,-0.458716,0.383484,0.607076,1.057547,0.516236,-2.394779
0.400000,-0.848602,-1.353747,1.003260,-1.935685,-0.800448,-0.002919,-0.500696,0.317075,0.655548,1.291167,0.551244,-2.260006
0.450000,-0.729764,-1.334649,0.890812,-1.942007,-0.703374,0.020583,-0.528933,0.242975,0.702225,1.537521,0.567977,-2.124938
0.500000,-0.610925,-1.315552,0.778363,-1.948329,-0.606300,0.044086,-0.542042,0.164256,0.746435,1.790810,0.565359,-1.995071
0.550000,-0.492087,-1.296454,0.665914,-1.954650,-0.509226,0.067588,-0.539370,0.084232,0.787535,2.044958,0.543836,-1.876405
0.600000,-0.373248,-1.277356,0.553466,-1.960972,-0.412153,0.091090,-0.521028,0.006288,0.824922,2.294973,0.505278,-1.774085
0.650000,-0.254410,-1.258258,0.441017,-1.967294,-0.315079,0.114593,-0.487897,-0.066307,0.858048,2.537799,0.452554,-1.691526
0.700000,-0.135571,-1.239160,0.328568,-1.973616,-0.218005,0.138095,-0.441569,-0.130577,0.886432,2.772380,0.389022,-1.630332
0.750000,-0.016733,-1.220062,0.216119,-1.979938,-0.120931,0.161598,-0.384260,-0.183998,0.909670,2.999176,0.318117,-1.590745
0.800000,0.102106,-1.200965,0.103671,-1.986260,-0.023857,0.185100,-0.318681,-0.224629,0.927448,-3.063646,0.243123,-1.572222
0.850000,0.220944,-1.181867,-0.008778,-1.992582,0.073217,0.208603,-0.247883,-0.251211,0.939543,-2.848008,0.167080,-1.573884
0.900000,0.339783,-1.162769,-0.121227,-1.998903,0.170291,0.232105,-0.175082,-0.263214,0.945826,-2.635405,0.092790,-1.594769
0.950000,0.458621,-1.143671,-0.233675,-2.005225,0.267365,0.255608,-0.103479,-0.260854,0.946271,-2.424426,0.022834,-1.633905
1.000000,0.577460,-1.124573,-0.346124,-2.011547,0.364439,0.279110,-0.036090,-0.245051,0.940942,-2.214117,-0.040421,-1.690260
1.050000,0.696298,-1.105475,-0.458573,-2.017869,0.461513,0.302612,0.024415,-0.217358,0.929999,-2.004134,-0.094853,-1.762631
1.100000,0.815137,-1.086378,-0.571021,-2.024191,0.558587,0.326115,0.075844,-0.179850,0.913685,-1.794846,-0.138672,-1.849517
1.150000,0.933975,-1.067280,-0.683470,-2.030513,0.655661,0.349617,0.116580,-0.134985,0.892317,-1.587376,-0.170540,-1.949048
1.200000,1.052814,-1.048182,-0.795919,-2.036835,0.752735,0.373120,0.145642,-0.085450,0.866281,-1.383523,-0.189706,-2.059013
1.250000,1.171652,-1.029084,-0.908368,-2.043156,0.849809,0.396622,0.162705,-0.034004,0.836014,-1.185562,-0.196127,-2.177024
1.300000,1.290491,-1.009986,-1.020816,-2.049478,0.946883,0.420125,0.168080,0.016679,0.801994,-0.995946,-0.190507,-2.300768
1.350000,1.409329,-0.990888,-1.133265,-2.055800,1.043957,0.443627,0.162660,0.064155,0.764725,-0.816983,-0.174264,-2.428279
1.400000,1.528168,-0.971791,-1.245714,-2.062122,1.141031,0.467130,0.147831,0.106324,0.724725,-0.650586,-0.149420,-2.558124
1.450000,1.647006,-0.952693,-1.358162,-2.068444,1.238105,0.490632,0.125369,0.141530,0.682512,-0.498127,-0.118446,-2.689465
1.500000,1.765845,-0.933595,-1.470611,-2.074766,1.335179,0.514135,0.097308,0.168612,0.638591,-0.360400,-0.084100,-2.821978
