t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
0.000000,-2.040460,-1.558230,2.514840,-0.959757,1.076000,-3.118030,0.005646,0.337996,0.100683,0.025196,0.022068,-1.568026
0.050000,-2.068898,-1.624856,2.493837,-0.872767,1.047564,-3.117718,0.012423,0.336755,0.121161,0.025206,0.021983,-1.567515
0.100000,-2.097335,-1.691482,2.472833,-0.785778,1.019129,-3.117405,0.018210,0.333743,0.142054,0.025216,0.021867,-1.567026
0.150000,-2.125773,-1.758108,2.451830,-0.698788,0.990693,-3.117093,0.022833,0.328987,0.163194,0.025225,0.021723,-1.566558
0.200000,-2.154210,-1.824734,2.430827,-0.611799,0.962258,-3.116781,0.026120,0.322535,0.184404,0.025234,0.021550,-1.566114
0.250000,-2.182648,-1.891360,2.409823,-0.524809,0.933822,-3.116468,0.027915,0.314462,0.205503,0.025242,0.021350,-1.565694
0.300000,-2.211085,-1.957986,2.388820,-0.437820,0.905386,-3.116156,0.028070,0.304866,0.226302,0.025249,0.021124,-1.565300
0.350000,-2.239523,-2.024612,2.367817,-0.350830,0.876951,-3.115844,0.026453,0.293868,0.246610,0.025256,0.020873,-1.564933
0.400000,-2.267960,-2.091238,2.346813,-0.263840,0.848515,-3.115531,0.022952,0.281610,0.266234,0.025262,0.020597,-1.564594
0.450000,-2.295338,-2.156327,2.325118,-0.178911,0.818757,-3.115216,0.017479,0.268719,0.285089,0.027667,0.019463,-1.563405
0.500000,-2.310460,-2.203627,2.295416,-0.117827,0.773692,-3.114865,0.010368,0.260099,0.304455,0.057757,0.008099,-1.552602
0.550000,-2.310321,-2.228779,2.255745,-0.086429,0.709571,-3.114470,0.002401,0.256675,0.325230,0.121878,-0.017998,-1.532062
0.600000,-2.294921,-2.231784,2.206105,-0.084719,0.626393,-3.114031,-0.005927,0.258110,0.347628,0.219167,-0.061872,-1.506041
0.650000,-2.268594,-2.218929,2.149326,-0.104266,0.529568,-3.113561,-0.014515,0.262471,0.370876,0.339279,-0.121937,-1.482638
0.700000,-2.241803,-2.205403,2.092245,-0.124715,0.432165,-3.113089,-0.023530,0.265421,0.393478,0.459591,-0.187281,-1.470177
0.750000,-2.215012,-2.191876,2.035164,-0.145164,0.334762,-3.112618,-0.032759,0.266837,0.415294,0.580245,-0.255810,-1.469658
0.800000,-2.188222,-2.178349,1.978083,-0.165613,0.237359,-3.112146,-0.041982,0.266816,0.436265,0.702665,-0.325830,-1.481882
0.850000,-2.161431,-2.164822,1.921001,-0.186062,0.139956,-3.111674,-0.050994,0.265481,0.456361,0.828476,-0.395547,-1.507751
0.900000,-2.134641,-2.151295,1.863920,-0.206512,0.042553,-3.111203,-0.059610,0.262972,0.475577,0.959410,-0.463017,-1.548255
0.950000,-2.107850,-2.137768,1.806839,-0.226961,-0.054850,-3.110731,-0.067670,0.259443,0.493931,1.097151,-0.526108,-1.604364
1.000000,-2.081059,-2.124241,1.749758,-0.247410,-0.152253,-3.110259,-0.075039,0.255055,0.511470,1.243069,-0.582472,-1.676798
1.050000,-2.054269,-2.110714,1.692676,-0.267859,-0.249656,-3.109788,-0.081611,0.249971,0.528258,1.397813,-0.629589,-1.765634
1.100000,-2.027478,-2.097187,1.635595,-0.288308,-0.347059,-3.109316,-0.087306,0.244350,0.544381,1.560798,-0.664900,-1.869806
1.150000,-2.000688,-2.083661,1.578514,-0.308757,-0.444462,-3.108844,-0.092078,0.238340,0.559940,1.729762,-0.686077,-1.986666
1.200000,-1.973897,-2.070134,1.521433,-0.329206,-0.541865,-3.108373,-0.095903,0.232076,0.575048,1.900694,-0.691386,-2.111912
1.250000,-1.947107,-2.056607,1.464351,-0.349655,-0.639269,-3.107901,-0.098787,0.225674,0.589825,2.068404,-0.680023,-2.240164
1.300000,-1.920316,-2.043080,1.407270,-0.370104,-0.736672,-3.107429,-0.100757,0.219225,0.604396,2.227619,-0.652269,-2.366057
1.350000,-1.893525,-2.029553,1.350189,-0.390553,-0.834075,-3.106958,-0.101861,0.212798,0.618887,2.374096,-0.609369,-2.485361
1.400000,-1.866735,-2.016026,1.293108,-0.411002,-0.931478,-3.106486,-0.102163,0.206433,0.633416,2.505215,-0.553216,-2.595582
1.450000,-1.839944,-2.002499,1.236027,-0.431451,-1.028881,-3.106014,-0.101737,0.200140,0.648094,2.619943,-0.485979,-2.695930
1.500000,-1.813154,-1.988972,1.178945,-0.451900,-1.126284,-3.105543,-0.100668,0.193903,0.663019,2.718388,-0.409822,-2.786892
1.550000,-1.786363,-1.975445,1.121864,-0.472349,-1.223687,-3.105071,-0.099042,0.187680,0.678273,2.801282,-0.326745,-2.869734
1.600000,-1.759514,-1.961855,1.064867,-0.492904,-1.320797,-3.104514,-0.096965,0.181467,0.693893,2.869467,-0.238792,-2.946016
1.650000,-1.729342,-1.944628,1.012640,-0.519458,-1.401265,-3.099090,-0.095797,0.178861,0.708570,2.919910,-0.163031,-3.013471
1.700000,-1.693968,-1.921709,0.967884,-0.555406,-1.455674,-3.086047,-0.096788,0.182034,0.721355,2.955523,-0.111287,-3.073322
1.750000,-1.653391,-1.893097,0.930597,-0.600749,-1.484024,-3.065385,-0.100693,0.190983,0.731962,2.981853,-0.085940,-3.127416
1.800000,-1.607611,-1.858791,0.900781,-0.655487,-1.486315,-3.037102,-0.108428,0.205526,0.740060,3.003588,-0.088411,3.107792
1.850000,-1.556628,-1.818793,0.878434,-0.719618,-1.462547,-3.001200,-0.121062,0.225213,0.745277,3.024608,-0.119295,3.067874
1.900000,-1.501802,-1.774590,0.861607,-0.790690,-1.419527,-2.959669,-0.138774,0.247856,0.747919,3.047794,-0.171712,3.036582
1.950000,-1.446775,-1.730167,0.845066,-0.862123,-1.375505,-2.917845,-0.159421,0.269066,0.749677,3.074334,-0.227171,3.009060
2.000000,-1.391749,-1.685744,0.828526,-0.933556,-1.331483,-2.876021,-0.182707,0.288330,0.750632,3.104101,-0.284299,2.984839
2.050000,-1.336723,-1.641322,0.811985,-1.004990,-1.287461,-2.834197,-0.208435,0.305366,0.750767,3.136928,-0.342746,2.963756
2.100000,-1.281696,-1.596899,0.795445,-1.076423,-1.243439,-2.792373,-0.236380,0.319913,0.750063,-3.110539,-0.402183,2.945648
2.150000,-1.226670,-1.552476,0.778904,-1.147856,-1.199418,-2.750549,-0.266289,0.331735,0.748502,-3.072092,-0.462308,2.930359
2.200000,-1.171643,-1.508054,0.762364,-1.219289,-1.155396,-2.708725,-0.297887,0.340623,0.746064,-3.031071,-0.522839,2.917740
2.250000,-1.116617,-1.463631,0.745823,-1.290722,-1.111374,-2.666901,-0.330877,0.346395,0.742731,-2.987622,-0.583514,2.907654
2.300000,-1.061591,-1.419208,0.729283,-1.362155,-1.067352,-2.625077,-0.364944,0.348902,0.738485,-2.941880,-0.644084,2.899973
2.350000,-1.006564,-1.374786,0.712742,-1.433588,-1.023330,-2.583253,-0.399760,0.348028,0.733308,-2.893970,-0.704316,2.894580
2.400000,-0.951538,-1.330363,0.696202,-1.505021,-0.979308,-2.541429,-0.434985,0.343691,0.727183,-2.844009,-0.763990,2.891369
2.450000,-0.896512,-1.285941,0.679661,-1.576455,-0.935287,-2.499605,-0.470272,0.335844,0.720094,-2.792101,-0.822893,2.890243
2.500000,-0.841485,-1.241518,0.663121,-1.647888,-0.891265,-2.457781,-0.505272,0.324476,0.712024,-2.738346,-0.880822,2.891115
2.550000,-0.786459,-1.197095,0.646581,-1.719321,-0.847243,-2.415957,-0.539636,0.309612,0.702960,-2.682835,-0.937581,2.893903
2.600000,-0.731432,-1.152673,0.630040,-1.790754,-0.803221,-2.374133,-0.573019,0.291312,0.692889,-2.625653,-0.992981,2.898533
2.650000,-0.676406,-1.108250,0.613500,-1.862187,-0.759199,-2.332309,-0.605083,0.269671,0.681799,-2.566877,-1.046835,2.904934
2.700000,-0.621380,-1.063827,0.596959,-1.933620,-0.715177,-2.290485,-0.635505,0.244818,0.669680,-2.506583,-1.098964,2.913038
2.750000,-0.566353,-1.019405,0.580419,-2.005053,-0.671156,-2.248661,-0.663972,0.216914,0.656525,-2.444839,-1.149190,2.922776
2.800000,-0.511327,-0.974982,0.563878,-2.076486,-0.627134,-2.206837,-0.690194,0.186149,0.642328,-2.381706,-1.197342,2.934077
2.850000,-0.456301,-0.930559,0.547338,-2.147920,-0.583112,-2.165013,-0.713898,0.152743,0.627085,-2.317238,-1.243252,2.946859
2.900000,-0.401274,-0.886137,0.530797,-2.219353,-0.539090,-2.123189,-0.734838,0.116940,0.610795,-2.251473,-1.286754,2.961025
2.950000,-0.346248,-0.841714,0.514257,-2.290786,-0.495068,-2.081365,-0.752792,0.079010,0.593461,-2.184425,-1.327690,2.976449
3.000000,-0.291222,-0.797292,0.497716,-2.362219,-0.451046,-2.039541,-0.767567,0.039239,0.575085,-2.116059,-1.365907,2.992952
3.050000,-0.236195,-0.752869,0.481176,-2.433652,-0.407025,-1.997717,-0.779001,-0.002068,0.555674,-2.046258,-1.401257,3.010263
3.100000,-0.181169,-0.708446,0.464635,-2.505085,-0.363003,-1.955893,-0.786962,-0.044592,0.535240,-1.974733,-1.433600,3.027934
3.150000,-0.126142,-0.664024,0.448095,-2.576518,-0.318981,-1.914069,-0.791350,-0.088004,0.513795,-1.900858,-1.462805,3.045165
3.200000,-0.071116,-0.619601,0.431554,-2.647951,-0.274959,-1.872245,-0.792100,-0.131970,0.491356,-1.823272,-1.488749,3.060414
3.250000,-0.016090,-0.575178,0.415014,-2.719385,-0.230937,-1.830421,-0.789179,-0.176149,0.467941,-1.738899,-1.511316,3.070414
3.300000,0.038937,-0.530756,0.398473,-2.790818,-0.186915,-1.788597,-0.782588,-0.220202,0.443575,-1.640174,-1.530394,3.067397
3.350000,0.093963,-0.486333,0.381933,-2.862251,-0.142894,-1.746773,-0.772358,-0.263794,0.418283,-1.505797,-1.545852,3.029849
3.400000,0.148989,-0.441910,0.365393,-2.933684,-0.098872,-1.704949,-0.758556,-0.306595,0.392095,-1.263026,-1.557425,2.884808
3.450000,0.196789,-0.406102,0.343302,-2.996623,-0.060339,-1.671175,-0.741999,-0.342538,0.373997,-0.126674,-1.551783,1.834169
3.500000,0.229209,-0.388624,0.309402,-3.041488,-0.033488,-1.654531,-0.725168,-0.365270,0.374218,0.184621,-1.507929,1.581925
3.550000,0.246242,-0.389486,0.263687,-3.068270,-0.018324,-1.655026,-0.709064,-0.375145,0.392766,0.234930,-1.434096,1.563744
3.600000,0.247889,-0.408687,0.206156,-3.076969,-0.014847,-1.672659,-0.692650,-0.372319,0.429318,0.241531,-1.331033,1.562202
3.650000,0.234149,-0.446228,0.136809,-3.067584,-0.023057,-1.707431,-0.672896,-0.356837,0.482988,0.225509,-1.198775,1.556002
3.700000,0.207283,-0.499413,0.057384,-3.042773,-0.041237,-1.756824,-0.645420,-0.330841,0.549322,0.192177,-1.041664,1.543310
3.750000,0.178804,-0.554521,-0.023281,-3.016067,-0.060642,-1.808012,-0.609500,-0.304099,0.613138,0.156406,-0.881601,1.529135
3.800000,0.150325,-0.609629,-0.103945,-2.989361,-0.080047,-1.859201,-0.565828,-0.278618,0.671619,0.120025,-0.721695,1.514064
3.850000,0.121847,-0.664737,-0.184610,-2.962654,-0.099452,-1.910390,-0.515110,-0.255095,0.723948,0.082752,-0.562003,1.497831
3.900000,0.093368,-0.719845,-0.265274,-2.935948,-0.118857,-1.961578,-0.458192,-0.234160,0.769400,0.044256,-0.402592,1.480081
